name;cmp;rne;specialties;locations;photo;slug;profile_url
Alayo Miranda Erasmo;40150;;Pediatría;Auna Guardia Civil - Clínica, Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/18210107_e2cde9b3d0.png;alayo-miranda-erasmo;https://auna.org/pe/staff-medico/alayo-miranda-erasmo
Albán Moral Sergio Daniel;40593;;Urología;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/10279665_c7e3ca0190.png;alban-moral-sergio-daniel;https://auna.org/pe/staff-medico/alban-moral-sergio-daniel
Alca Clares Raúl;65788;;Cardiología;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/44449384_05fb446f12.png;alca-clares-raul;https://auna.org/pe/staff-medico/alca-clares-raul
Alcarraz Molina Cindy Elizabeth;59241;;Oncología médica;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/43548615_b156d96689.png;alcarraz-molina-cindy-elizabeth;https://auna.org/pe/staff-medico/alcarraz-molina-cindy-elizabeth
Alpaca Rodriguez Cecilia Milagros;50947;;Endocrinología;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/42252133_7c3b307b6c.png;alpaca-rodriguez-cecilia-milagros;https://auna.org/pe/staff-medico/alpaca-rodriguez-cecilia-milagros
Amorin Kajatt Edgar;14671;;Cirugía oncológica;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/07195306_b3e648dafa.png;amorin-kajatt-edgar;https://auna.org/pe/staff-medico/amorin-kajatt-edgar
Andrade Chávez Rossana Cecilia;25701;;Unidad de cuidados intensivos;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/15975577_cbcd6c574a.png;andrade-chavez-rossana-cecilia;https://auna.org/pe/staff-medico/andrade-chavez-rossana-cecilia
Angulo Bazan Rosa Fanny;35692;;Cirugía plástica y reconstructiva;Auna Guardia Civil - Clínica, Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/09896080_d5a3bc3580.png;angulo-bazan-rosa-fanny;https://auna.org/pe/staff-medico/angulo-bazan-rosa-fanny
Apestegui Moreno Cristian Miguel Armando;49597;;Cirugía cabeza y cuello;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/40942748_48a3081580.png;apestegui-moreno-cristian-miguel-armando;https://auna.org/pe/staff-medico/apestegui-moreno-cristian-miguel-armando
Araoz Tarco Ofelia;32158;;Cardiología;Auna - Centro de Bienestar, Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/23952422_8953b3f2e8.png;araoz-tarco-ofelia;https://auna.org/pe/staff-medico/araoz-tarco-ofelia
Arcaya Quinteros Dennis Pastor;53688;;Anestesiología;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/41917736_ae61494c9b.png;arcaya-quinteros-dennis-pastor;https://auna.org/pe/staff-medico/arcaya-quinteros-dennis-pastor
Arevalo Castillo Iris Marisol;33214;;Servicio de emergencia;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/29420890_73ae8ca061.png;arevalo-castillo-iris-marisol;https://auna.org/pe/staff-medico/arevalo-castillo-iris-marisol
Arquinio Estremadoyro Luis Vicente;41810;;Medicina interna;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/10201712_edc2abd6a2.png;arquinio-estremadoyro-luis-vicente;https://auna.org/pe/staff-medico/arquinio-estremadoyro-luis-vicente
Ascenzo Battistini Alberto Germán;28445;;Ginecología y obstetricia;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/10218838_e9e6eae9a6.png;ascenzo-battistini-alberto-german;https://auna.org/pe/staff-medico/ascenzo-battistini-alberto-german
Ascoy Siccha Moritz Axel Javier;39682;;Ortopedia y traumatología;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/18123692_167187d64e.png;ascoy-siccha-moritz-axel-javier;https://auna.org/pe/staff-medico/ascoy-siccha-moritz-axel-javier
Avalos Carazas Bethhina Lishet;59237;;Anestesiología;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/42884822_f7e95d7e0b.png;avalos-carazas-bethhina-lishet;https://auna.org/pe/staff-medico/avalos-carazas-bethhina-lishet
Avendaño Zanabria David Elmer;29883;;Urología pediátrica;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/07752966_3391dc56cb.png;avendano-zanabria-david-elmer;https://auna.org/pe/staff-medico/avendano-zanabria-david-elmer
Aybar Morón Sandra Rosario;33149;;Medicina interna;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/21520583_66b209c7fe.png;aybar-moron-sandra-rosario;https://auna.org/pe/staff-medico/aybar-moron-sandra-rosario
Bambarén Páez Leandro Enrique;22754;;Pediatría;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/07778175_6aec6f84f9.png;bambaren-paez-leandro-enrique;https://auna.org/pe/staff-medico/bambaren-paez-leandro-enrique
Bances Neyra Gorky Alberto;30783;;Ginecología oncológica;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/16586748_8d8f0ce450.png;bances-neyra-gorky-alberto;https://auna.org/pe/staff-medico/bances-neyra-gorky-alberto
Banda Flores Claudia Lizette;49517;;Infectología;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/41616785_93c75180b7.png;banda-flores-claudia-lizette;https://auna.org/pe/staff-medico/banda-flores-claudia-lizette
Barboza Martínez Julia María Del Carmen;34620;;Dermatología;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/21521677_b4a176974f.png;barboza-martinez-julia-maria-del-carmen;https://auna.org/pe/staff-medico/barboza-martinez-julia-maria-del-carmen
Bazán Mendoza Carlos Alberto;17810;;Pediatría;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/09392462_3634c623a1.png;bazan-mendoza-carlos-alberto;https://auna.org/pe/staff-medico/bazan-mendoza-carlos-alberto
Belloni Cáceres Luigi Carlo Martino;25294;;Cirugía abdominal y laparoscópica;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/08241164_868754c816.png;belloni-caceres-luigi-carlo-martino;https://auna.org/pe/staff-medico/belloni-caceres-luigi-carlo-martino
Bernaola Baltodaro Gissela Marisela;50043;;Servicio de emergencia;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/41719483_bbb783bcfa.png;bernaola-baltodaro-gissela-marisela;https://auna.org/pe/staff-medico/bernaola-baltodaro-gissela-marisela
Bernuy Chavez Luis Alberto;28814;;Ginecología y obstetricia;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/07752413_943feca847.png;bernuy-chavez-luis-alberto;https://auna.org/pe/staff-medico/bernuy-chavez-luis-alberto
Bisso Andrade Aland Gregory;19012;;Medicina interna;Auna - Centro de Bienestar, Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/06063178_a44b3724fc.webp;bisso-andrade-aland-gregory;https://auna.org/pe/staff-medico/bisso-andrade-aland-gregory
Boggiano Arroyo Julio César Eduardo;53372;;Radiología;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/40871284_2577959c1b.jpg;boggiano-arroyo-julio-cesar-eduardo;https://auna.org/pe/staff-medico/boggiano-arroyo-julio-cesar-eduardo
Briceño Clemens Diego Ricardo;44776;;Unidad de cuidados intensivos;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/10612206_e4fd9d7267.png;briceno-clemens-diego-ricardo;https://auna.org/pe/staff-medico/briceno-clemens-diego-ricardo
Brito Quevedo Luzmery Isabel;42253;;Unidad de cuidados intensivos;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/16791017_dfb379562d.png;brito-quevedo-luzmery-isabel;https://auna.org/pe/staff-medico/brito-quevedo-luzmery-isabel
Buendia Benavides Patricia Magali;21395;;Oftalmología;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/07855631_1653a2fa4c.png;buendia-benavides-patricia-magali;https://auna.org/pe/staff-medico/buendia-benavides-patricia-magali
Bustamante Centeno Wilmer Edilberto;31682;;Ginecología y obstetricia;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/18018462_b19f0677bb.png;bustamante-centeno-wilmer-edilberto;https://auna.org/pe/staff-medico/bustamante-centeno-wilmer-edilberto
Bustios Sanchez Carla Gioconda;30005;;Gastroenterología;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/07617382_3d63fa241b.png;bustios-sanchez-carla-gioconda;https://auna.org/pe/staff-medico/bustios-sanchez-carla-gioconda
Cabello León Jhon Eduardo;26298;;Reumatología;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/17814352_b54e492fa8.png;cabello-leon-jhon-eduardo;https://auna.org/pe/staff-medico/cabello-leon-jhon-eduardo
Cabero Benza Octavio;58090;;Cirugía oncológica de tórax;Clínica Delgado Auna, Clínicas Oncosalud;https://web-auna-backend-prd-images.s3.amazonaws.com/42692706_af5b99b0f8.png;cabero-benza-octavio;https://auna.org/pe/staff-medico/cabero-benza-octavio
Cabrera Saldaña Mario Raúl;53445;;Cardiología;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/43856734_a5ae6cf082.png;cabrera-saldana-mario-raul;https://auna.org/pe/staff-medico/cabrera-saldana-mario-raul
Cáceres Le Breton Artidoro Jacques;25353;;Psiquiatría;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/07853774_desktop_efed402a14.png;caceres-le-breton-artidoro-jacques;https://auna.org/pe/staff-medico/caceres-le-breton-artidoro-jacques
Campodónico Olcese David Giovanni;40386;;Ginecología y obstetricia;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/25799742_f073e78a5e_0f6fe17795.png;campodonico-olcese-david-giovanni;https://auna.org/pe/staff-medico/campodonico-olcese-david-giovanni
Campodonico Olcese Lorena;40385;;Ginecología y obstetricia;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/25839548_6cb0dc202d.png;campodonico-olcese-lorena;https://auna.org/pe/staff-medico/campodonico-olcese-lorena
Campomanes Espinoza Giovanny Carel;35421;;Medicina interna;Clínica Delgado Auna, Auna - Centro de Bienestar;https://web-auna-backend-prd-images.s3.amazonaws.com/09948338_e8e1f2ab0e.png;campomanes-espinoza-giovanny-carel;https://auna.org/pe/staff-medico/campomanes-espinoza-giovanny-carel
Canales Sevilla Olivia Martha;18925;;Gastroenterología;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/09296204_ac9fc73e29.png;canales-sevilla-olivia-martha;https://auna.org/pe/staff-medico/canales-sevilla-olivia-martha
Caparo Zamalloa César;44344;;Neurología;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/41056415_01f7cb8bb4.png;caparo-zamalloa-cesar;https://auna.org/pe/staff-medico/caparo-zamalloa-cesar
Cárdenas Mercado Carlos Enrique;33410;;Ortopedia y traumatología;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/29553631_002164d17d.png;cardenas-mercado-carlos-enrique;https://auna.org/pe/staff-medico/cardenas-mercado-carlos-enrique
Carmelino Mayorga César Augusto;26432;;Cirugía torácica y cardiovascular;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/07817626_5f9ee72576.png;carmelino-mayorga-cesar-augusto;https://auna.org/pe/staff-medico/carmelino-mayorga-cesar-augusto
Carrillo Díaz De Sobrevilla Lorena María;26162;;Radiología;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/08208597_71af7604b7.png;carrillo-diaz-de-sobrevilla-lorena-maria;https://auna.org/pe/staff-medico/carrillo-diaz-de-sobrevilla-lorena-maria
Casasola Canales Diana Kelly;50445;;Unidad de cuidados intensivos;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/42118826_2e1ab4fcd1.png;casasola-canales-diana-kelly;https://auna.org/pe/staff-medico/casasola-canales-diana-kelly
Castelo Mengoa Jose Andreu;57160;;Ortopedia y traumatología;Clínica Delgado Auna, Auna Guardia Civil - Clínica, Auna - Centro de Bienestar Benavides;https://web-auna-backend-prd-images.s3.amazonaws.com/42299408_665d34d19c.jpg;castelo-mengoa-jose-andreu;https://auna.org/pe/staff-medico/castelo-mengoa-jose-andreu
Castilla Rubio Martha Violeta;32645;;Ortopedia y traumatología;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/06668578_96be1079ed.png;castilla-rubio-martha-violeta;https://auna.org/pe/staff-medico/castilla-rubio-martha-violeta
Castillo Bravo Luis Ysidro;19806;;Unidad de cuidados intensivos;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/08549188_87c45d1454.png;castillo-bravo-luis-ysidro;https://auna.org/pe/staff-medico/castillo-bravo-luis-ysidro
Castillo Campos Ricardo Antonio;23808;;Cardiología;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/07898369_d20beef811_4f6a8e45cd.png;castillo-campos-ricardo-antonio;https://auna.org/pe/staff-medico/castillo-campos-ricardo-antonio
Castillo Díaz Maria Esther;19101;;Pediatría;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/25655107_7d5c23bd59.png;castillo-diaz-maria-esther;https://auna.org/pe/staff-medico/castillo-diaz-maria-esther
Castro De La Mata Guerra García Rodrigo;25332;;Cirugía abdominal y laparoscópica;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/10267940_0f2b968f55.png;castro-de-la-mata-guerra-garcia-rodrigo;https://auna.org/pe/staff-medico/castro-de-la-mata-guerra-garcia-rodrigo
Castro Rodríguez Juan Carlos;21640;;Oftalmología;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/08209323_6778640c23.png;castro-rodriguez-juan-carlos;https://auna.org/pe/staff-medico/castro-rodriguez-juan-carlos
Castro Toscano Hugo Alexis;44556;;Ginecología y obstetricia;Auna Bellavista - Clínica, Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/40597399_986110f925.png;castro-toscano-hugo-alexis;https://auna.org/pe/staff-medico/castro-toscano-hugo-alexis
Chacón Díaz Manuel Alberto;38103;;Cardiología;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/23981648_588f537985.png;chacon-diaz-manuel-alberto;https://auna.org/pe/staff-medico/chacon-diaz-manuel-alberto
Callupe Perez Luisa Cristina;47951;;Oncología médica;Auna - Centro de Bienestar;https://web-auna-backend-prd-images.s3.amazonaws.com/20111750_bcb90510e8.png;callupe-perez-luisa-cristina;https://auna.org/pe/staff-medico/callupe-perez-luisa-cristina
Castillo Cabrera Amanda Mercedes;55328;;Cirugía oncológica;Auna - Centro de Bienestar;https://web-auna-backend-prd-images.s3.amazonaws.com/41775729_2b2dde93ae.png;castillo-cabrera-amanda-mercedes;https://auna.org/pe/staff-medico/castillo-cabrera-amanda-mercedes
Castillo Romero Jorge Alberto;83038;;Ginecología oncológica;Clínicas Oncosalud, Auna - Centro de Bienestar;https://web-auna-backend-prd-images.s3.amazonaws.com/02418491_abfee1adba.jpeg;castillo-romero-jorge-alberto;https://auna.org/pe/staff-medico/castillo-romero-jorge-alberto
Chumbimuni Contreras Consuelo Janeth;75831;;Cirugía general;Auna - Centro de Bienestar;https://web-auna-backend-prd-images.s3.amazonaws.com/42365352_784d1578c9.png;chumbimuni-contreras-consuelo-janeth;https://auna.org/pe/staff-medico/chumbimuni-contreras-consuelo-janeth
Domínguez Torres Melina;62519;;Preventivos oncológicos;Auna - Centro de Bienestar;https://web-auna-backend-prd-images.s3.amazonaws.com/42284105_8fa167508d.png;dominguez-torres-melina;https://auna.org/pe/staff-medico/dominguez-torres-melina
Gonzales Caballero Yaneth;76454;;Medicina familiar y comunitaria;Auna - Centro de Bienestar;https://web-auna-backend-prd-images.s3.amazonaws.com/44800645_15bd20b94e.png;gonzales-caballero-yaneth;https://auna.org/pe/staff-medico/gonzales-caballero-yaneth
Jara Mendoza Danielle Johan;64021;;Cirugía oncológica;Auna - Centro de Bienestar, Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/44407183_722bd3d086.png;jara-mendoza-danielle-johan;https://auna.org/pe/staff-medico/jara-mendoza-danielle-johan
Jaúregui Munguia Paulo Germán;61885;;Oncología médica;Auna - Centro de Bienestar;https://web-auna-backend-prd-images.s3.amazonaws.com/44111382_43b57366a4.png;jauregui-munguia-paulo-german;https://auna.org/pe/staff-medico/jauregui-munguia-paulo-german
Mispireta Robles Jorge Martin Augusto;40372;;Cardiología;Clínica Delgado Auna, Auna - Centro de Bienestar;https://web-auna-backend-prd-images.s3.amazonaws.com/09532295_9864218c8f.png;mispireta-robles-jorge-martin-augusto;https://auna.org/pe/staff-medico/mispireta-robles-jorge-martin-augusto
Palacios Aybar Manuel Giancarlo;043752;;Cirugía oncológica;Auna - Centro de Bienestar;https://web-auna-backend-prd-images.s3.amazonaws.com/22314124_a6fe0ad0ea.png;palacios-aybar-manuel-giancarlo;https://auna.org/pe/staff-medico/palacios-aybar-manuel-giancarlo
Paytán Rivera Tania Virian;63291;;Preventivos oncológicos;Auna - Centro de Bienestar;https://web-auna-backend-prd-images.s3.amazonaws.com/44208026_8eb52481e8.png;paytan-rivera-tania-virian;https://auna.org/pe/staff-medico/paytan-rivera-tania-virian
Salas Parejas Henry Nevin;53894;;Cirugía oncológica;Auna - Centro de Bienestar;https://web-auna-backend-prd-images.s3.amazonaws.com/41586756_52d49ae7ec.png;salas-parejas-henry-nevin;https://auna.org/pe/staff-medico/salas-parejas-henry-nevin
Solorzano Palacios Raquel Mercedes Elva Del Rosario;67336;;Oncología médica;Auna - Centro de Bienestar;https://web-auna-backend-prd-images.s3.us-east-1.amazonaws.com/44125380_75d40a8676.jpg;solorzano-palacios-raquel-mercedes-elva-del-rosario;https://auna.org/pe/staff-medico/solorzano-palacios-raquel-mercedes-elva-del-rosario
Isla Maldonado Fabiola Milagros;070863;;Cirugía oncológica;Auna - Centro de Bienestar;https://web-auna-backend-prd-images.s3.amazonaws.com/46210788_2c73a72768.png;isla-maldonado-fabiola-milagros;https://auna.org/pe/staff-medico/isla-maldonado-fabiola-milagros
Betetta Riondato Sandra Fabiola;48691;;Neumología;Auna Guardia Civil - Clínica;https://web-auna-backend-prd-images.s3.amazonaws.com/40032869_840a043bc7.png;betetta-riondato-sandra-fabiola;https://auna.org/pe/staff-medico/betetta-riondato-sandra-fabiola
Bustamante Contreras Edward Iván;58889;;Cirugía de cabeza, cuello y maxilofacial;Auna Guardia Civil - Clínica;https://web-auna-backend-prd-images.s3.amazonaws.com/44046373_a3aebca9e0.png;bustamante-contreras-edward-ivan;https://auna.org/pe/staff-medico/bustamante-contreras-edward-ivan
Castro Callirgos Carlos Augusto;58144;;Medicina interna;Auna Guardia Civil - Clínica;https://web-auna-backend-prd-images.s3.amazonaws.com/47609422_65d8dcce9d.png;castro-callirgos-carlos-augusto;https://auna.org/pe/staff-medico/castro-callirgos-carlos-augusto
Chávez Valencia Paolo Giancarlo;59572;;Medicina interna;Auna Guardia Civil - Clínica;https://web-auna-backend-prd-images.s3.amazonaws.com/08640734_b3e2c676e2.png;chavez-valencia-paolo-giancarlo;https://auna.org/pe/staff-medico/chavez-valencia-paolo-giancarlo
Florez Guerra Walter Jeisen;64028;;Otorrinolaringología;Auna Guardia Civil - Clínica;https://web-auna-backend-prd-images.s3.amazonaws.com/44039867_95ef274cae.png;florez-guerra-walter-jeisen;https://auna.org/pe/staff-medico/florez-guerra-walter-jeisen
Huaringa Marcelo Jorge Giusepi;56488;;Medicina interna;Auna Guardia Civil - Clínica;https://web-auna-backend-prd-images.s3.amazonaws.com/41461997_5adc499d3c.png;huaringa-marcelo-jorge-giusepi;https://auna.org/pe/staff-medico/huaringa-marcelo-jorge-giusepi
Navarro Torre Emily Lesly;62036;;Dermatología;Auna Guardia Civil - Clínica, Auna - Centro de Bienestar Benavides;https://web-auna-backend-prd-images.s3.amazonaws.com/43445963_e22f627610.png;navarro-torre-emily-lesly;https://auna.org/pe/staff-medico/navarro-torre-emily-lesly
Novoa Perez José Antonio;64100;;Cirugía de cabeza y cuello;Clínica Delgado Auna, Auna Guardia Civil - Clínica;https://web-auna-backend-prd-images.s3.amazonaws.com/45152708_942e3644ae.png;novoa-perez-jose-antonio;https://auna.org/pe/staff-medico/novoa-perez-jose-antonio
Obregon Candela Katherine Noelia;67305;;Dermatología;Auna Guardia Civil - Clínica;https://web-auna-backend-prd-images.s3.amazonaws.com/43019192_aa321f6cd9.png;obregon-candela-katherine-noelia;https://auna.org/pe/staff-medico/obregon-candela-katherine-noelia
Retuerto Marzano Michel Jesús;50240;;Otorrinolaringología;Auna Guardia Civil - Clínica;https://web-auna-backend-prd-images.s3.amazonaws.com/41878259_478add6cd2.png;retuerto-marzano-michel-jesus;https://auna.org/pe/staff-medico/retuerto-marzano-michel-jesus
Rivero Davila Luis Enrique;64611;;Servicio de emergencia;Auna Guardia Civil - Clínica, Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/70323309_a1325e1803.png;rivero-davila-luis-enrique;https://auna.org/pe/staff-medico/rivero-davila-luis-enrique
Roca Valencia Jhonatan Julio;57777;;Servicio de emergencia pediátrica;Auna Guardia Civil - Clínica;https://web-auna-backend-prd-images.s3.amazonaws.com/43176176_6d10b28cc3.png;roca-valencia-jhonatan-julio;https://auna.org/pe/staff-medico/roca-valencia-jhonatan-julio
Sandoval Paz Cindy Rocio;77450;;Ginecología y obstetricia;Auna Guardia Civil - Clínica, Auna - Centro de Bienestar Benavides;https://web-auna-backend-prd-images.s3.amazonaws.com/70438130_102b7956fb.png;sandoval-paz-cindy-rocio;https://auna.org/pe/staff-medico/sandoval-paz-cindy-rocio
Yupanqui Huerta Carlos Daniel;56338;;Ortopedia y traumatología;Auna Guardia Civil - Clínica;https://web-auna-backend-prd-images.s3.amazonaws.com/42621321_ec6ade868c.png;yupanqui-huerta-carlos-daniel;https://auna.org/pe/staff-medico/yupanqui-huerta-carlos-daniel
Zegarra Neira Nilton Fidel;030614;;Gastroenterología;Clínicas Oncosalud, Auna Guardia Civil - Clínica;https://web-auna-backend-prd-images.s3.amazonaws.com/29579524_9ffb5e06c4.png;zegarra-neira-nilton-fidel;https://auna.org/pe/staff-medico/zegarra-neira-nilton-fidel
